Device_Type,Generation,Identifier
AirPods,AirPods (1st generation),"AirPods1,1"
AirPods,AirPods (2nd generation),"AirPods1,2"
AirPods,AirPods (2nd generation),"AirPods2,1"
AirPods,AirPods (3rd generation),"AirPods1,3"
AirPods,AirPods (3rd generation),"Audio2,1"
AirPods,AirPods (3rd generation),"Device1,8211"
AirPods,AirPods 4,"AirPods1,4"
AirPods,AirPods 4,"Device1,8217"
AirPods,AirPods 4 (ANC),"AirPods1,4"
AirPods,AirPods 4 (ANC),"Device1,8219"
AirPods,AirPods Max,"AirPodsMax1,1"
AirPods,AirPods Max,"Device1,8202"
AirPods,AirPods Max,"Device1,8223"
AirPods,AirPods Max,"iProd8,6"
AirPods,AirPods Pro,"AirPods2,2"
AirPods,AirPods Pro,"AirPodsPro1,1"
AirPods,AirPods Pro,"iProd8,1"
AirPods,AirPods Pro (2nd generation),"AirPodsPro1,2"
AirPods,AirPods Pro (2nd generation),"AirPodsPro2,1"
AirPods,AirPods Pro (2nd generation),"Device1,8212"
AirPods,AirPods Pro (2nd generation),"Device1,8228"
AirPods,AirPods Pro 3,"AirPodsPro1,3"
AirTag,AirTag,"AirTag1,1"
Apple TV,Apple TV (1st generation),"AppleTV1,1"
Apple TV,Apple TV (2nd generation),"AppleTV2,1"
Apple TV,Apple TV (3rd generation),"AppleTV3,1"
Apple TV,Apple TV (3rd generation),"AppleTV3,2"
Apple TV,Apple TV 4K,"AppleTV6,2"
Apple TV,Apple TV 4K (2nd generation),"AppleTV11,1"
Apple TV,Apple TV 4K (3rd generation),"AppleTV14,1"
Apple TV,Apple TV HD,"AppleTV5,3"
Apple TV Accessories,Siri Remote,"ATVRemote1,1"
Apple TV Accessories,Siri Remote (2nd generation),"ATVRemote1,3"
Apple TV Accessories,Siri Remote (3rd generation),"ATVRemote1,4"
Apple TV Accessories,Siri Remote (Rev A),"ATVRemote1,2"
Apple Vision,Apple Vision Pro,"RealityDevice14,1"
Apple Watch,Apple Watch (1st generation),"Watch1,1"
Apple Watch,Apple Watch (1st generation),"Watch1,2"
Apple Watch,Apple Watch SE,"Watch5,10"
Apple Watch,Apple Watch SE,"Watch5,11"
Apple Watch,Apple Watch SE,"Watch5,12"
Apple Watch,Apple Watch SE,"Watch5,9"
Apple Watch,Apple Watch SE,"Watch6,10"
Apple Watch,Apple Watch SE,"Watch6,11"
Apple Watch,Apple Watch SE,"Watch6,12"
Apple Watch,Apple Watch SE,"Watch6,13"
Apple Watch,Apple Watch SE 3,"Watch7,13"
Apple Watch,Apple Watch SE 3,"Watch7,14"
Apple Watch,Apple Watch SE 3,"Watch7,15"
Apple Watch,Apple Watch SE 3,"Watch7,16"
Apple Watch,Apple Watch Series 1,"Watch2,6"
Apple Watch,Apple Watch Series 1,"Watch2,7"
Apple Watch,Apple Watch Series 10,"Watch7,10"
Apple Watch,Apple Watch Series 10,"Watch7,11"
Apple Watch,Apple Watch Series 10,"Watch7,8"
Apple Watch,Apple Watch Series 10,"Watch7,9"
Apple Watch,Apple Watch Series 11,"Watch7,17"
Apple Watch,Apple Watch Series 11,"Watch7,18"
Apple Watch,Apple Watch Series 11,"Watch7,19"
Apple Watch,Apple Watch Series 11,"Watch7,20"
Apple Watch,Apple Watch Series 2,"Watch2,3"
Apple Watch,Apple Watch Series 2,"Watch2,4"
Apple Watch,Apple Watch Series 3,"Watch3,1"
Apple Watch,Apple Watch Series 3,"Watch3,2"
Apple Watch,Apple Watch Series 3,"Watch3,3"
Apple Watch,Apple Watch Series 3,"Watch3,4"
Apple Watch,Apple Watch Series 4,"Watch4,1"
Apple Watch,Apple Watch Series 4,"Watch4,2"
Apple Watch,Apple Watch Series 4,"Watch4,3"
Apple Watch,Apple Watch Series 4,"Watch4,4"
Apple Watch,Apple Watch Series 5,"Watch5,1"
Apple Watch,Apple Watch Series 5,"Watch5,2"
Apple Watch,Apple Watch Series 5,"Watch5,3"
Apple Watch,Apple Watch Series 5,"Watch5,4"
Apple Watch,Apple Watch Series 6,"Watch6,1"
Apple Watch,Apple Watch Series 6,"Watch6,2"
Apple Watch,Apple Watch Series 6,"Watch6,3"
Apple Watch,Apple Watch Series 6,"Watch6,4"
Apple Watch,Apple Watch Series 7,"Watch6,6"
